ticker,quarter_end,availability_date,metric_value,metric_unit,disclosure_type,segment_scope,source_url,notes
ETN,2022-12-31,2023-02-23,11400000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001551182/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
ETN,2023-03-31,2023-05-02,12300000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001551182/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
ETN,2023-06-30,2023-08-01,12500000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001551182/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
ETN,2023-09-30,2023-10-31,12900000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001551182/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
ETN,2023-12-31,2024-02-29,13000000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001551182/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
ETN,2024-03-31,2024-04-30,15000000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001551182/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
ETN,2024-06-30,2024-08-01,15200000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118224000035/etn-20240630.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2024-09-30,2024-10-31,15900000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118224000041/etn-20240930.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2024-12-31,2025-02-27,15900000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118225000006/etn-20241231.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2025-03-31,2025-05-02,16000000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118225000014/etn-20250331.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2025-06-30,2025-08-05,17500000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118225000028/etn-20250630.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2025-09-30,2025-11-04,18400000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118225000036/etn-20250930.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2025-12-31,2026-02-26,19800000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2026-03-31,2026-05-05,22800000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000013/etn-20260331.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
ETN,2026-06-30,2026-07-31,24100000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000030/etn-20260630.htm,"total firmly-committed backlog per revenue-recognition note; continues the discontinued XBRL RPO series (same concept, values matched at overlap) (approx, 0.1bn precision)"
