vintage,zone,target_year,mw_adj
2021 LF,AE,2021,0
2021 LF,AE,2022,0
2021 LF,AE,2023,0
2021 LF,AE,2024,0
2021 LF,AE,2025,0
2021 LF,AE,2026,0
2021 LF,AE,2027,0
2021 LF,AE,2028,0
2021 LF,AE,2029,0
2021 LF,AE,2030,0
2021 LF,AE,2031,0
2021 LF,AE,2032,0
2021 LF,AE,2033,0
2021 LF,AE,2034,0
2021 LF,AE,2035,0
2021 LF,AE,2036,0
2021 LF,BGE,2021,-12
2021 LF,BGE,2022,-16
2021 LF,BGE,2023,-17
2021 LF,BGE,2024,-16
2021 LF,BGE,2025,-15
2021 LF,BGE,2026,-16
2021 LF,BGE,2027,-12
2021 LF,BGE,2028,-15
2021 LF,BGE,2029,-12
2021 LF,BGE,2030,-13
2021 LF,BGE,2031,-7
2021 LF,BGE,2032,-12
2021 LF,BGE,2033,-10
2021 LF,BGE,2034,-6
2021 LF,BGE,2035,-8
2021 LF,BGE,2036,-7
2021 LF,DPL,2021,0
2021 LF,DPL,2022,0
2021 LF,DPL,2023,0
2021 LF,DPL,2024,0
2021 LF,DPL,2025,0
2021 LF,DPL,2026,0
2021 LF,DPL,2027,0
2021 LF,DPL,2028,0
2021 LF,DPL,2029,0
2021 LF,DPL,2030,0
2021 LF,DPL,2031,0
2021 LF,DPL,2032,0
2021 LF,DPL,2033,0
2021 LF,DPL,2034,0
2021 LF,DPL,2035,0
2021 LF,DPL,2036,0
2021 LF,JCPL,2021,0
2021 LF,JCPL,2022,0
2021 LF,JCPL,2023,0
2021 LF,JCPL,2024,0
2021 LF,JCPL,2025,0
2021 LF,JCPL,2026,0
2021 LF,JCPL,2027,0
2021 LF,JCPL,2028,0
2021 LF,JCPL,2029,0
2021 LF,JCPL,2030,0
2021 LF,JCPL,2031,0
2021 LF,JCPL,2032,0
2021 LF,JCPL,2033,0
2021 LF,JCPL,2034,0
2021 LF,JCPL,2035,0
2021 LF,JCPL,2036,0
2021 LF,METED,2021,0
2021 LF,METED,2022,0
2021 LF,METED,2023,0
2021 LF,METED,2024,0
2021 LF,METED,2025,0
2021 LF,METED,2026,0
2021 LF,METED,2027,0
2021 LF,METED,2028,0
2021 LF,METED,2029,0
2021 LF,METED,2030,0
2021 LF,METED,2031,0
2021 LF,METED,2032,0
2021 LF,METED,2033,0
