,stress_spike_pct,stress_cong_threshold,stress_cong_min_days,n_long,xlu_hedge,n_short,stress_day_pct,n_events,sharpe,ann_return,ann_vol,max_dd,hit_rate,sortino,stress_sharpe,calm_sharpe
1,0.97,0.3,10,3,False,5.0,57.1,107,0.319,0.0807,0.1278,-0.1366,0.482,0.422,1.0,-0.456
2,0.99,0.4,7,7,False,3.0,53.1,130,0.31,0.0784,0.1242,-0.1768,0.489,0.412,1.066,-0.435
3,0.97,0.3,10,3,False,3.0,57.1,107,0.306,0.0809,0.1338,-0.1475,0.478,0.418,0.964,-0.505
4,0.99,0.4,7,5,False,5.0,53.1,130,0.296,0.076,0.1217,-0.1556,0.483,0.393,1.003,-0.377
5,0.95,0.5,3,7,False,3.0,60.6,349,0.296,0.0795,0.1334,-0.17,0.482,0.407,0.461,0.088
6,0.97,0.3,10,5,False,5.0,57.1,107,0.293,0.0756,0.1216,-0.1226,0.478,0.383,1.033,-0.468
7,0.95,0.5,3,3,False,3.0,60.6,349,0.275,0.0802,0.146,-0.186,0.479,0.379,0.457,0.013
8,0.99,0.4,7,5,False,3.0,53.1,130,0.274,0.0756,0.1298,-0.1872,0.482,0.371,0.953,-0.439
9,0.97,0.3,10,7,False,5.0,57.1,107,0.266,0.0721,0.1208,-0.1318,0.48,0.345,0.988,-0.465
10,0.95,0.5,3,7,False,5.0,60.6,349,0.259,0.0738,0.1305,-0.17,0.476,0.352,0.43,0.051
11,0.95,0.5,3,3,False,5.0,60.6,349,0.253,0.0747,0.137,-0.1975,0.481,0.345,0.362,0.109
12,0.95,0.5,3,5,False,3.0,60.6,349,0.25,0.0742,0.1369,-0.17,0.48,0.346,0.427,0.016
13,0.99,0.4,7,7,False,5.0,53.1,130,0.239,0.0688,0.1206,-0.1832,0.484,0.313,0.887,-0.366
14,0.97,0.4,7,7,False,3.0,54.9,146,0.23,0.0687,0.125,-0.1226,0.48,0.304,0.984,-0.523
15,0.97,0.3,10,7,False,3.0,57.1,107,0.23,0.0683,0.1228,-0.1226,0.476,0.303,0.915,-0.488
16,0.97,0.3,10,5,False,3.0,57.1,107,0.23,0.069,0.1262,-0.1428,0.481,0.302,0.877,-0.484
17,0.97,0.4,7,5,False,5.0,54.9,146,0.225,0.0676,0.1224,-0.1226,0.48,0.298,0.935,-0.46
18,0.97,0.4,7,5,False,3.0,54.9,146,0.22,0.0687,0.1301,-0.156,0.483,0.294,0.967,-0.579
19,0.95,0.4,7,5,False,3.0,55.9,153,0.218,0.0684,0.1303,-0.156,0.484,0.288,1.04,-0.678
20,0.95,0.4,7,3,False,3.0,55.9,153,0.214,0.0695,0.138,-0.1551,0.478,0.289,0.936,-0.628
21,0.97,0.5,3,7,False,3.0,59.9,342,0.212,0.0683,0.1335,-0.184,0.473,0.292,0.394,-0.014
22,0.97,0.4,7,3,False,5.0,54.9,146,0.199,0.0655,0.1281,-0.147,0.478,0.266,0.813,-0.438
23,0.95,0.4,3,7,False,3.0,66.8,354,0.197,0.0658,0.1309,-0.2076,0.472,0.265,0.132,0.308
24,0.99,0.3,10,5,False,5.0,55.6,91,0.19,0.0632,0.1221,-0.1242,0.479,0.248,1.09,-0.684
25,0.99,0.4,10,7,False,5.0,48.0,93,0.188,0.0625,0.1195,-0.1289,0.475,0.249,1.054,-0.469
26,0.97,0.4,7,3,False,3.0,54.9,146,0.187,0.0665,0.1419,-0.1834,0.478,0.251,0.864,-0.606
