name,type,window_start,window_end,context_start,context_end,iso_list,notes
Northeast Polar Vortex,cold,2018-01-04,2018-01-08,2017-12-01,2018-02-28,"['PJM', 'ISO-NE', 'NYISO']",ISO-NE and PJM set cold records. Gas supply disruptions caused gen outages.
ERCOT Congestion 2018-04-29,congestion,2018-04-29,2018-07-24,2018-04-22,2018-07-31,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT LMP Spike 2018-07-17,lmp_spike,2018-07-17,2018-07-26,2018-07-03,2018-08-09,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
PJM Polar Vortex,cold,2019-01-29,2019-02-01,2019-01-01,2019-03-01,"['PJM', 'MISO']","PJM declared Maximum Emergency Generation. Relevant for FE, EXC, WEC, DTE, CMS."
ERCOT Congestion 2019-05-12,congestion,2019-05-12,2019-05-29,2019-05-05,2019-06-05,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2019-06-12,congestion,2019-06-12,2019-07-05,2019-06-05,2019-07-12,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT LMP Spike 2019-08-12,lmp_spike,2019-08-12,2019-08-16,2019-07-29,2019-08-30,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT LMP Spike 2019-08-19,lmp_spike,2019-08-19,2019-08-21,2019-08-05,2019-09-04,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT Congestion 2019-09-17,congestion,2019-09-17,2020-01-02,2019-09-10,2020-01-09,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-01-04,congestion,2020-01-04,2020-04-09,2019-12-28,2020-04-16,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-04-26,congestion,2020-04-26,2020-05-05,2020-04-19,2020-05-12,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-07-28,congestion,2020-07-28,2020-08-13,2020-07-21,2020-08-20,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-09-19,congestion,2020-09-19,2020-09-28,2020-09-12,2020-10-05,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-09-30,congestion,2020-09-30,2020-10-18,2020-09-23,2020-10-25,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-10-20,congestion,2020-10-20,2020-10-29,2020-10-13,2020-11-05,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2020-11-07,congestion,2020-11-07,2020-12-27,2020-10-31,2021-01-03,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2021-01-18,congestion,2021-01-18,2021-01-31,2021-01-11,2021-02-07,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
